Index,X0,X1,X2,X3,Y
5,5.4,3.9,1.7,0.4,0
113,5.7,2.5,5,2,2
4,5,3.6,1.4,0.2,0
130,7.4,2.8,6.1,1.9,2
106,4.9,2.5,4.5,1.7,2
52,6.9,3.1,4.9,1.5,1
8,4.4,2.9,1.4,0.2,0
117,7.7,3.8,6.7,2.2,2
108,6.7,2.5,5.8,1.8,2
14,5.8,4,1.2,0.2,0
31,5.4,3.4,1.5,0.4,0
12,4.8,3,1.4,0.1,0
133,6.3,2.8,5.1,1.5,2
138,6,3,4.8,1.8,2
74,6.4,2.9,4.3,1.3,1
33,5.5,4.2,1.4,0.2,0
3,4.6,3.1,1.5,0.2,0
19,5.1,3.8,1.5,0.3,0
26,5,3.4,1.6,0.4,0
44,5.1,3.8,1.9,0.4,0
69,5.6,2.5,3.9,1.1,1
122,7.7,2.8,6.7,2,2
134,6.1,2.6,5.6,1.4,2
47,4.6,3.2,1.4,0.2,0
99,5.7,2.8,4.1,1.3,1
126,6.2,2.8,4.8,1.8,2
103,6.3,2.9,5.6,1.8,2
110,6.5,3.2,5.1,2,2
90,5.5,2.6,4.4,1.2,1
30,4.8,3.1,1.6,0.2,0
118,7.7,2.6,6.9,2.3,2
58,6.6,2.9,4.6,1.3,1
35,5,3.2,1.2,0.2,0
105,7.6,3,6.6,2.1,2
102,7.1,3,5.9,2.1,2
28,5.2,3.4,1.4,0.2,0
72,6.3,2.5,4.9,1.5,1
53,5.5,2.3,4,1.3,1
29,4.7,3.2,1.6,0.2,0
10,5.4,3.7,1.5,0.2,0
97,6.2,2.9,4.3,1.3,1
40,5,3.5,1.3,0.3,0
111,6.4,2.7,5.3,1.9,2
136,6.3,3.4,5.6,2.4,2
140,6.7,3.1,5.6,2.4,2
94,5.6,2.7,4.2,1.3,1
6,4.6,3.4,1.4,0.3,0
65,6.7,3.1,4.4,1.4,1
55,5.7,2.8,4.5,1.3,1
15,5.7,4.4,1.5,0.4,0
87,6.3,2.3,4.4,1.3,1
142,5.8,2.7,5.1,1.9,2
23,5.1,3.3,1.7,0.5,0
125,7.2,3.2,6,1.8,2
76,6.8,2.8,4.8,1.4,1
137,6.4,3.1,5.5,1.8,2
2,4.7,3.2,1.3,0.2,0
56,6.3,3.3,4.7,1.6,1
32,5.2,4.1,1.5,0.1,0
89,5.5,2.5,4,1.3,1
16,5.4,3.9,1.3,0.4,0
64,5.6,2.9,3.6,1.3,1
146,6.3,2.5,5,1.9,2
7,5,3.4,1.5,0.2,0
98,5.1,2.5,3,1.1,1
38,4.4,3,1.3,0.2,0
43,5,3.5,1.6,0.6,0
104,6.5,3,5.8,2.2,2
21,5.1,3.7,1.5,0.4,0
73,6.1,2.8,4.7,1.2,1
18,5.7,3.8,1.7,0.3,0
25,5,3,1.6,0.2,0
49,5,3.3,1.4,0.2,0
116,6.5,3,5.5,1.8,2
27,5.2,3.5,1.5,0.2,0
109,7.2,3.6,6.1,2.5,2
95,5.7,3,4.2,1.2,1
123,6.3,2.7,4.9,1.8,2
121,5.6,2.8,4.9,2,2
93,5,2.3,3.3,1,1
88,5.6,3,4.1,1.3,1
115,6.4,3.2,5.3,2.3,2
100,6.3,3.3,6,2.5,2
0,5.1,3.5,1.4,0.2,0
79,5.7,2.6,3.5,1,1
75,6.6,3,4.4,1.4,1
80,5.5,2.4,3.8,1.1,1
24,4.8,3.4,1.9,0.2,0
92,5.8,2.6,4,1.2,1
1,4.9,3,1.4,0.2,0
132,6.4,2.8,5.6,2.2,2
81,5.5,2.4,3.7,1,1
41,4.5,2.3,1.3,0.3,0
22,4.6,3.6,1,0.2,0
128,6.4,2.8,5.6,2.1,2
46,5.1,3.8,1.6,0.2,0
119,6,2.2,5,1.5,2
61,5.9,3,4.2,1.5,1
101,5.8,2.7,5.1,1.9,2
84,5.4,3,4.5,1.5,1
127,6.1,3,4.9,1.8,2
107,7.3,2.9,6.3,1.8,2
63,6.1,2.9,4.7,1.4,1
124,6.7,3.3,5.7,2.1,2
48,5.3,3.7,1.5,0.2,0
149,5.9,3,5.1,1.8,2
39,5.1,3.4,1.5,0.2,0
60,5,2,3.5,1,1
85,6,3.4,4.5,1.6,1
71,6.1,2.8,4,1.3,1
96,5.7,2.9,4.2,1.3,1
86,6.7,3.1,4.7,1.5,1
112,6.8,3,5.5,2.1,2
139,6.9,3.1,5.4,2.1,2
54,6.5,2.8,4.6,1.5,1
59,5.2,2.7,3.9,1.4,1
66,5.6,3,4.5,1.5,1
34,4.9,3.1,1.5,0.1,0
37,4.9,3.1,1.5,0.1,0
141,6.9,3.1,5.1,2.3,2
147,6.5,3,5.2,2,2
